update,mean_reward,success_rate,mean_episode_length,river_fall_rate,policy_loss,value_loss,entropy,maze_size
1,8.741189002990723,0.0,94.76470588235294,0.17647058823529413,-0.004892094060778618,188.09967613220215,1.6010145992040634,10
2,11.130973815917969,0.023809523809523808,80.52380952380952,0.23809523809523808,-0.0032147541642189026,452.94463539123535,1.5718239545822144,10
3,16.620027542114258,0.07692307692307693,77.01538461538462,0.27692307692307694,0.005471513606607914,629.6052398681641,1.5251978933811188,10
4,17.896730422973633,0.10989010989010989,74.12087912087912,0.2967032967032967,-0.001961568370461464,718.5447463989258,1.5090527385473251,10
5,40.0350227355957,0.25,68.13,0.28,-0.00555699247343,1134.6905136108398,1.4505209028720856,10
6,61.922027587890625,0.42,63.61,0.26,0.0009996884036809206,1273.0348052978516,1.430471658706665,10
7,92.70203399658203,0.61,60.32,0.17,0.000607919879257679,1227.6585311889648,1.4090976864099503,10
8,108.1670150756836,0.72,54.98,0.12,-0.0013705771416425705,1102.2943725585938,1.3556160479784012,10
9,108.56001281738281,0.74,51.16,0.1,0.0006680507212877274,1316.7290954589844,1.2842665761709213,10
10,105.9220199584961,0.74,48.61,0.1,0.0015294607728719711,1083.1629943847656,1.2445345520973206,10
11,113.45500946044922,0.8,46.83,0.09,0.0005257169250398874,1012.0317001342773,1.2394439727067947,10
12,111.47701263427734,0.8,45.7,0.13,0.0020073665655218065,1253.3358306884766,1.2442970722913742,10
13,110.36100769042969,0.79,44.39,0.12,-0.00016519927885383368,756.1015434265137,1.27757228910923,10
14,116.76200866699219,0.82,43.69,0.1,0.0031008701771497726,966.9361572265625,1.2740503996610641,10
15,124.19001007080078,0.84,44.99,0.06,-0.002162214834243059,546.0050354003906,1.292777344584465,10
16,118.49501037597656,0.82,44.36,0.1,-0.0017081089317798615,1189.2014503479004,1.310603678226471,10
17,113.71100616455078,0.78,44.34,0.12,0.0023473850451409817,738.7415599822998,1.3522997200489044,10
18,110.3580093383789,0.77,45.28,0.14,0.003938156180083752,1076.5068969726562,1.3459704518318176,10
19,106.11201477050781,0.76,46.23,0.15,0.005632089450955391,1185.869623184204,1.3666869699954987,10
20,104.23701477050781,0.75,49.0,0.18,-0.002151801250874996,935.5044326782227,1.3816270381212234,10
21,97.61701202392578,0.71,49.23,0.21,-0.0018916139379143715,1264.6607055664062,1.3582440465688705,10
